X1,EDAT,SEXE,ANTIGUETAT,ESCOLA,DEPARTAMENT,TIPUS,ALTRAUNI,REDUCCIO,DOCTOR,ANYTESI,RAOTESI,ACREDITACIO,ANYACREDITACIO,FENTTESI,RAOFENTTESI,DISPOSATTESI,CARRERA,ASSOCIAT,FALSASSOCIAT,EXPECTATIVES,GESTIO,RENOVACIO,X2,BONTRACTE,X3,FORMACIO,SATISFET,ASSEMBLEES,MOBILITZACIONS
"44130,34113",De 35 a 44 anys,Home,1 - Menys de 2 anys,EPSEVG,749/MAT,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,1 - No contesto,1 - No contesto,2 - Depèn,0 - No contesto,1 - No,,4,,4,4,0 - No,2 - Si
"44130,34264",De 25 a 34 anys,Home,2 - Entre 2 i 5 anys,EETAC,748/FIS,Tipus T3,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,2 - Si,0 - No,2 - Depèn,1 - Grau,1 - No,,3,,4,4,1 - No contesto,2 - Si
"44130,34352",De 25 a 34 anys,Home,2 - Entre 2 i 5 anys,EETAC,748/FIS,Tipus T3,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,2 - Si,0 - No,2 - Depèn,1 - Grau,1 - No,,3,,4,4,1 - No contesto,2 - Si
"44130,34379",De 45 a 54 anys,Dona,2 - Entre 2 i 5 anys,"FIB, EPSEVG",756/THATC,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,0 - No,1 - No contesto,2 - Si,0 - No,0 - No,0 - No contesto,1 - No,,4,,3,3,1 - No contesto,1 - No contesto
"44130,34385",De 45 a 54 anys,Home,2 - Entre 2 i 5 anys,ETSECCPB,751/DECA,No ho sé,0,1 - No,2 - Si,2002,1- Realització personal,"Lector/a, Agregat/da",2008,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Si,2 - Depèn,1 - Grau,1 - No,,3,,2,1,2 - Si,1 - No contesto
"44130,3441",De 45 a 54 anys,Home,2 - Entre 2 i 5 anys,FIB,410/ICE,No ho sé,1,2 - Si,2 - Si,2018,2 - Carrera profesional,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,2 - Si,0 - No,3 - Si,0 - No contesto,1 - No,,3,,4,2,0 - No,1 - No contesto
"44130,34427",De 55 a 60 anys,Home,3 - Entre 6 i 10 anys,EPSEM,750/EMIT,Tipus T1,1,1 - No,2 - Si,2015,1- Realització personal,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Si,3 - Si,1 - Grau,2 - Si,,4,,3,3,2 - Si,1 - No contesto
"44130,34454",De 35 a 44 anys,Home,1 - Menys de 2 anys,FIB,410/ICE,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,2 - Si,0 - No,2 - Depèn,0 - No contesto,2 - Si,,4,,4,3,2 - Si,2 - Si
"44130,34549",De 35 a 44 anys,Dona,2 - Entre 2 i 5 anys,ETSECCPB,0 - No contesto,No ho sé,0,1 - No,2 - Si,2013,4 - Vull fer carrera acadèmica,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Si,2 - Depèn,0 - No contesto,1 - No,,3,,3,3,0 - No,1 - No contesto
"44130,34568",De 45 a 54 anys,Home,1 - Menys de 2 anys,ESEIAAT,732/OE,No ho sé,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,2 - Si,4 - Acadèmica,1 - No contesto,2 - Si,2 - Si,0 - No,3 - Si,0 - No contesto,1 - No,,4,,3,3,0 - No,0 - No
